breast,liver,week,concentration,mTOR,s6k1,4e-bp1,murf1,mafbx,ampk
1,0,3,1,0.439950383,0.990895741,2.645037359,3.201168495,1.08345335,6.072495062
1,0,3,1,0.503317037,0.987464486,3.853788383,3.440097506,1.064109804,6.156502776
1,0,3,1,0.408964347,0.657386507,2.497491218,3.768589263,0.781265015,4.066476079
1,0,3,1,0.587673714,0.995485901,3.733852709,4.253584306,1.992625516,5.773458679
1,0,3,1,0.429688119,1.233309823,3.236097526,2.922005989,0.649364402,4.051796101
1,0,3,1,0.451654723,0.843301579,3.14849597,2.328050933,0.930263083,4.682293929
1,0,3,2,0.304408133,0.664874524,1.953144366,2.512589884,1.267808518,4.185774957
1,0,3,2,0.601408929,0.992205004,4.138156127,9.299113593,1.997938262,3.657164109
1,0,3,2,0.523758068,0.984240605,3.552698676,3.864045488,0.829352024,6.509990902
1,0,3,2,0.493515577,0.861701402,2.651008984,2.470527033,0.856715789,3.966307465
1,0,3,2,0.484119835,0.94175815,3.850262989,4.949489734,1.438677564,5.398573701
1,0,3,3,0.44603362,0.859347834,4.475250513,22.58680219,10.68098894,4.524165221
1,0,3,3,0.161753071,0.308980254,1.160785924,1.225851207,0.278788045,1.645699694
1,0,3,3,0.482466556,1.066682839,3.79925266,8.23773108,3.28401562,7.264218664
1,0,3,3,0.486844612,1.039473245,4.340317097,3.322589641,1.008544315,6.312040836
1,0,3,3,0.246220988,0.659941,1.86223217,10.83291448,5.038078342,3.649143127
1,0,3,4,0.457996516,0.910807688,2.602653331,2.443199786,0.689710988,0.025090731
1,0,3,4,0.162040794,0.461069423,1.734959589,0.870083653,0.32465473,3.017643018
1,0,3,4,0.26142596,0.446594767,1.649432588,2.120576686,0.46134625,3.138342246
1,0,3,4,0.171717062,0.298705975,0.994207139,0.671505241,0.39486429,1.548967485
1,0,3,4,0.174182233,0.334019724,1.556931493,3.434286586,0.734203007,2.624360802
0,1,3,1,0.806638404,3.313994204,3.07814441,0.179616323,1.014071171,0.494127127
0,1,3,1,0.628640718,2.702519177,2.361164828,0.147455007,1.01101335,0.453681083
0,1,3,1,0.573667114,2.702578131,2.423830905,0.083820686,0.578485061,0.432187931
0,1,3,1,0.52963817,1.586571229,2.642481333,0.07682647,0.818499541,0.348403714
0,1,3,1,0.642493429,2.156505165,3.790743196,0.095755785,1.130091374,0.280750861
0,1,3,1,0.417710127,1.472945977,2.134141342,0.085043212,0.476017916,0.201325684
0,1,3,2,0.280789466,1.039130029,1.439669748,0.143551036,0.663616498,0.129436121
0,1,3,2,0.599843982,2.81133974,2.639233452,0.141957309,1.533387419,0.411478892
0,1,3,2,0.459219731,1.576087265,3.12005853,0.064296591,0.687599616,0.350695989
0,1,3,2,1.127969184,2.643650185,2.743967143,0.161633993,1.39543363,0.316547481
0,1,3,2,0.808585395,2.805406568,4.178037218,0.209648206,1.318538113,0.455569122
0,1,3,3,0.653844853,2.157978239,2.629259106,0.058298634,1.097964622,0.338421611
0,1,3,3,0.675264561,2.462073737,3.748929112,0.12259363,0.52820501,0.510404958
0,1,3,3,0.533482435,1.713950889,2.637745702,0.051917434,0.469662012,0.269365426
0,1,3,3,0.822108487,2.732607824,2.729244658,0.058128969,0.690679104,0.410497862
0,1,3,3,0.437681413,1.796364998,2.121084087,0.060463355,0.473085182,0.217931953
0,1,3,3,0.968982356,3.719430296,4.771674927,0.156747298,1.595006376,0.550781596
0,1,3,4,0.341447187,1.384833832,6.854749961,0.046172899,0.750060988,0.20238936
0,1,3,4,0.399775369,1.442159576,1.972470192,0.038309127,0.96340024,0.200585638
0,1,3,4,0.238896233,0.825070143,1.780788101,0.091489349,0.431722646,0.237893347
0,1,3,4,0.377542252,1.163504599,2.158355582,0.060990325,0.442623409,0.274692002
0,1,3,4,0.277218362,0.91179438,1.84489093,0.052289858,0.342707723,0.403216571
1,0,6,1,0.3864,0.65263,1.45255,1.97747,0.4587,2.628
1,0,6,1,1.10648,1.70729,5.93895,6.71992,1.21699,6.65521
1,0,6,1,0.514,0.70199,2.17287,3.42679,0.59123,2.85943
1,0,6,1,0.28991,0.69164,1.95036,2.61276,0.82051,4.66448
1,0,6,1,0.66834,1.11429,5.02433,8.27137,2.5194,0.59558
1,0,6,1,0.54241,0.854,2.28457,2.19302,0.49772,2.62031
1,0,6,2,0.56895,0.94015,2.87977,3.1927,0.53734,4.7303
1,0,6,2,0.52128,0.78922,2.00217,1.93354,0.42801,2.40257
1,0,6,2,0.52921,0.87586,3.47134,6.10983,1.38576,1.96351
1,0,6,2,1.36253,1.62133,3.86688,4.31248,0.90674,6.03628
1,0,6,2,0.335,0.91771,2.14684,2.43532,0.84503,5.54452
1,0,6,3,0.61361,1.35222,3.00316,0.01306,1.09912,6.25633
1,0,6,3,0.80007,1.1618,2.52191,6.41523,1.37029,3.88095
1,0,6,3,0.25892,0.70117,1.23287,2.34983,0.49354,2.78696
1,0,6,3,0.27919,0.54901,2.02416,1.81036,0.40575,3.22662
1,0,6,3,0.18191,0.5055,1.1176,1.52786,0.33676,3.03463
1,0,6,3,0.30103,0.4235,1.83057,2.0399,0.77468,2.3742
1,0,6,4,0.28893,0.53051,0.29271,1.26178,0.47378,3.17152
1,0,6,4,0.57391,0.87689,4.76761,13.51049,2.95412,5.00848
1,0,6,4,0.27747,0.77229,3.24477,4.28748,1.15597,3.99227
1,0,6,4,0.47629,0.69071,3.04442,1.60295,0.38613,3.54327
1,0,6,4,0.71472,0.82446,3.01902,2.57338,0.92954,5.95567
0,1,6,1,0.63624339,1.923046767,2.719803771,0.436488136,0.280054848,0.811179221
0,1,6,1,0.44838645,2.447180762,3.024800611,0.610644488,0.097034129,0.912966839
0,1,6,1,0.614467344,2.550978108,2.733621377,0.403441327,0.123864008,0.968338834
0,1,6,1,0.798758861,3.844779334,4.005774083,0.388636382,0.114800683,1.066861901
0,1,6,1,0.819025889,3.882627492,3.086124917,0.576011077,0.107564494,0.798988578
0,1,6,1,0.737309847,2.92347033,2.574386008,0.656389923,0.173313358,1.714362212
0,1,6,2,0.671810673,2.728925346,4.411466658,0.637959987,0.127919421,1.353289195
0,1,6,2,0.761701206,2.938427525,3.355162994,0.586078643,0.133664956,1.402530828
0,1,6,2,0.620267663,2.392204917,3.359450687,0.54011366,0.116945241,1.393962665
0,1,6,2,0.683501123,2.526660414,2.234187282,0.474012699,0.097556629,1.002886375
0,1,6,2,0.568566916,2.607923106,2.717821421,0.360941465,0.139866179,1.303643526
0,1,6,3,0.661952938,2.410540834,3.474137471,0.449687455,0.10992697,1.226328931
0,1,6,3,0.891115357,2.840627216,3.149870796,0.407659317,0.138813198,2.7902908
0,1,6,3,0.858473424,3.129732057,3.498221626,0.634355688,0.139955983,0.903936297
0,1,6,3,1.066182271,3.262456143,2.923114768,0.509094004,0.117864124,1.310363527
0,1,6,3,1.431701621,4.70980202,3.171174505,0.452155216,0.11592136,1.384621011
0,1,6,3,0.767507575,2.483026395,2.39218436,0.361051952,0.136219259,0.891503042
0,1,6,4,1.084866569,3.115538804,2.676251762,0.406341818,0.223295601,1.874952201
0,1,6,4,0.406619384,1.402557715,1.825658502,0.352991562,0.063168434,0.52248359
0,1,6,4,0.571765287,2.020944985,2.081689157,0.463946048,0.197641584,1.33453854
0,1,6,4,0.475807766,2.851682383,2.472604283,0.184350127,0.090907716,1.02897262
0,1,6,4,0.480742783,1.633322938,1.973383768,0.209235007,0.08578747,0.704691367
